Year,Team,Salary,Wins,Salary Cap,Salary/Salary Cap,Conference,City Population,Owner net worth
2024,Golden State,"$209,354,737",46.00,"$136,021,000",1.539135406,West,767968,1200000000
2024,Atlanta,"$159,153,393",36.00,"$136,021,000",1.170064865,East,518107,3900000000
2023,Atlanta,"$149,836,313",41.00,"$123,655,000",1.211728705,East,518107,3900000000
2022,Atlanta,"$135,166,020",43.00,"$112,414,000.00",1.202394897,East,518107,3900000000
2021,Atlanta,"$118,804,016",41.00,"$109,140,000",1.088546967,East,518107,3900000000
2024,Boston,"$186,940,921",64.00,"$136,021,000",1.374353379,East,639411,400000000
2023,Boston,"$178,633,307",57.00,"$123,655,000",1.444610465,East,639411,400000000
2022,Boston,"$136,557,646",51.00,"$112,414,000.00",1.21477437,East,639411,400000000
2021,Boston,"$132,931,565",36.00,"$109,140,000",1.21799125,East,639411,400000000
2024,Brooklyn,"$155,015,136",32.00,"$136,021,000",1.139641202,East,2646306,14200000000
2023,Brooklyn,"$159,566,723",45.00,"$123,655,000",1.290418689,East,2646306,14200000000
2022,Brooklyn,"$174,811,922",44.00,"$112,414,000.00",1.555072518,East,2646306,14200000000
2021,Brooklyn,"$170,444,633",48.00,"$109,140,000",1.561706368,East,2646306,14200000000
2024,Charlotte,"$135,774,484",21.00,"$136,021,000",0.9981876622,East,935017,1600000000
2023,Charlotte,"$125,874,047",27.00,"$123,655,000",1.017945469,East,935017,1600000000
2022,Charlotte,"$122,139,566",43.00,"$112,414,000.00",1.086515612,East,935017,1600000000
2021,Charlotte,"$108,218,809",33.00,"$109,140,000",0.9915595474,East,935017,1600000000
2024,Chicago,"$165,630,436",39.00,"$136,021,000",1.217682828,East,2611867,1500000000
2023,Chicago,"$151,964,990",40.00,"$123,655,000",1.22894335,East,2611867,1500000000
2022,Chicago,"$136,083,814",46.00,"$112,414,000.00",1.210559308,East,2611867,1500000000
2021,Chicago,"$128,963,580",31.00,"$109,140,000",1.181634415,East,2611867,1500000000
2024,Cleveland,"$166,874,287",48.00,"$136,021,000",1.22682738,East,356556,44800000000
2023,Cleveland,"$151,966,241",51.00,"$123,655,000",1.228953467,East,356556,44800000000
2022,Cleveland,"$136,385,911",44.00,"$112,414,000.00",1.213246669,East,356556,44800000000
2021,Cleveland,"$129,605,319",22.00,"$109,140,000",1.187514376,East,356556,44800000000
2024,Dallas,"$167,755,884",50.00,"$136,021,000",1.23330871,West,1302638,4200000000
2023,Dallas,"$177,244,238",38.00,"$123,655,000",1.433377041,West,1302638,4200000000
2022,Dallas,"$126,696,965",52.00,"$112,414,000.00",1.127056817,West,1302638,4200000000
2021,Dallas,"$127,657,823",42.00,"$109,140,000",1.169670359,West,1302638,4200000000
2024,Denver,"$180,922,992",57.00,"$136,021,000",1.330110733,West,715891,8300000000
2023,Denver,"$162,338,665",53.00,"$123,655,000",1.312835429,West,715891,8300000000
2022,Denver,"$137,963,926",48.00,"$112,414,000.00",1.227284199,West,715891,8300000000
2021,Denver,"$129,793,210",47.00,"$109,140,000",1.189235935,West,715891,8300000000
2024,Detroit,"$139,233,014",14.00,"$136,021,000",1.023614104,East,629830,5700000000
2023,Detroit,"$129,153,570",17.00,"$123,655,000",1.044467025,East,629830,5700000000
2022,Detroit,"$131,120,355",23.00,"$112,414,000.00",1.166405919,East,629830,5700000000
2021,Detroit,"$117,041,599",20.00,"$109,140,000",1.072398745,East,629830,5700000000
2023,Golden State,"$192,386,134",44.00,"$123,655,000",1.555829801,West,767968,1200000000
2022,Golden State,"$178,980,766",53.00,"$112,414,000.00",1.592157258,West,767968,1200000000
2021,Golden State,"$171,105,334",39.00,"$109,140,000",1.56776007,West,767968,1200000000
2024,Houston,"$149,356,730",41.00,"$136,021,000",1.098041699,West,2324082,4100000000
2023,Houston,"$137,579,793",22.00,"$123,655,000",1.112610028,West,2324082,4100000000
2022,Houston,"$132,267,085",20.00,"$112,414,000.00",1.176606873,West,2324082,4100000000
2021,Houston,"$131,784,255",17.00,"$109,140,000",1.207478972,West,2324082,4100000000
2024,Indiana,"$148,722,330",47.00,"$136,021,000",1.093377714,East,874037,2800000000
2023,Indiana,"$125,706,114",35.00,"$123,655,000",1.016587392,East,874037,2800000000
2022,Indiana,"$138,181,486",25.00,"$112,414,000.00",1.229219546,East,874037,2800000000
2021,Indiana,"$130,237,102",34.00,"$109,140,000",1.193303115,East,874037,2800000000
2024,LA Clippers,"$201,366,679",51.00,"$136,021,000",1.480408753,West,3770958,75600000000
2023,LA Clippers,"$192,905,421",44.00,"$123,655,000",1.560029283,West,3770958,75600000000
2022,LA Clippers,"$168,378,382",42.00,"$112,414,000.00",1.497841746,West,3770958,75600000000
2021,LA Clippers,"$139,722,606",47.00,"$109,140,000",1.280214458,West,3770958,75600000000
2024,LA Lakers,"$169,876,920",47.00,"$136,021,000",1.248902155,West,3770958,10100000000
2023,LA Lakers,"$169,391,473",43.00,"$123,655,000",1.369871602,West,3770958,10100000000
2022,LA Lakers,"$164,409,293",33.00,"$112,414,000.00",1.462533964,West,3770958,10100000000
2021,LA Lakers,"$139,334,713",42.00,"$109,140,000",1.276660372,West,3770958,10100000000
2024,Memphis,"$162,649,524",27.00,"$136,021,000",1.195767742,West,607581,14100000000
2023,Memphis,"$127,139,520",51.00,"$123,655,000",1.02817937,West,607581,14100000000
2022,Memphis,"$117,284,457",56.00,"$112,414,000.00",1.043326071,West,607581,14100000000
2021,Memphis,"$132,022,601",38.00,"$109,140,000",1.209662828,West,607581,14100000000
2024,Miami,"$177,143,542",46.00,"$136,021,000",1.30232495,East,464655,5900000000
2023,Miami,"$151,408,266",44.00,"$123,655,000",1.224441114,East,464655,5900000000
2022,Miami,"$140,840,240",53.00,"$112,414,000.00",1.252870995,East,464655,5900000000
2021,Miami,"$134,731,235",40.00,"$109,140,000",1.234480804,East,464655,5900000000
2024,Milwaukee,"$187,346,674",49.00,"$136,021,000",1.377336397,East,550837,1800000000
2023,Milwaukee,"$182,930,771",58.00,"$123,655,000",1.479364126,East,550837,1800000000
2022,Milwaukee,"$160,875,421",51.00,"$112,414,000.00",1.431097737,East,550837,1800000000
2021,Milwaukee,"$136,623,929",46.00,"$109,140,000",1.251822696,East,550837,1800000000
2024,Minnesota,"$166,434,327",56.00,"$136,021,000",1.223592879,West,421385,2500000000
2023,Minnesota,"$145,793,656",42.00,"$123,655,000",1.179035672,West,421385,2500000000
2022,Minnesota,"$137,432,702",46.00,"$112,414,000.00",1.222558596,West,421385,2500000000
2021,Minnesota,"$130,334,934",23.00,"$109,140,000",1.194199505,West,421385,2500000000
2024,New Orleans,"$167,403,924",49.00,"$136,021,000",1.230721168,West,351399,3300000000
2023,New Orleans,"$148,360,910",42.00,"$123,655,000",1.199797097,West,351399,3300000000
2022,New Orleans,"$135,793,968",36.00,"$112,414,000.00",1.207980928,West,351399,3300000000
2021,New Orleans,"$133,901,495",31.00,"$109,140,000",1.226878276,West,351399,3300000000
2024,New York,"$164,990,518",50.00,"$136,021,000",1.212978275,East,7936530,2000000000
2023,New York,"$148,987,936",47.00,"$123,655,000",1.204867866,East,7936530,2000000000
2022,New York,"$120,644,081",37.00,"$112,414,000.00",1.073212242,East,7936530,2000000000
2021,New York,"$102,137,151",41.00,"$109,140,000",0.9358360913,East,7936530,2000000000
2024,Oklahoma City,"$162,515,272",57.00,"$136,021,000",1.194780747,West,715893,400000000
2023,Oklahoma City,"$148,856,338",40.00,"$123,655,000",1.203803631,West,715893,400000000
2022,Oklahoma City,"$82,022,873",24.00,"$112,414,000.00",0.7296499813,West,715893,400000000
2021,Oklahoma City,"$95,774,839",22.00,"$109,140,000",0.8775411307,West,715893,400000000
2024,Orlando,"$132,643,598",47.00,"$136,021,000",0.9751699958,East,329347,5400000000
2023,Orlando,"$126,107,324",34.00,"$123,655,000",1.019831984,East,329347,5400000000
2022,Orlando,"$126,786,646",22.00,"$112,414,000.00",1.127854591,East,329347,5400000000
2021,Orlando,"$121,739,163",21.00,"$109,140,000",1.115440379,East,329347,5400000000
2024,Philadelphia,"$166,271,894",47.00,"$136,021,000",1.222398703,East,1517114,4600000000
2023,Philadelphia,"$150,496,913",54.00,"$123,655,000",1.217070988,East,1517114,4600000000
2022,Philadelphia,"$148,922,969",51.00,"$112,414,000.00",1.324772439,East,1517114,4600000000
2021,Philadelphia,"$147,825,311",49.00,"$109,140,000",1.354455846,East,1517114,4600000000
2024,Phoenix,"$193,838,882",49.00,"$136,021,000",1.42506585,West,1675144,400000000
2023,Phoenix,"$176,042,453",45.00,"$123,655,000",1.423658186,West,1675144,400000000
2022,Phoenix,"$136,476,474",64.00,"$112,414,000.00",1.214052289,West,1675144,400000000
2021,Phoenix,"$128,858,241",51.00,"$109,140,000",1.180669241,West,1675144,400000000
2024,Portland,"$165,263,993",21.00,"$136,021,000",1.214988811,West,615267,20300000000
2023,Portland,"$144,997,250",33.00,"$123,655,000",1.172595124,West,615267,20300000000
2022,Portland,"$124,788,473",27.00,"$112,414,000.00",1.110079465,West,615267,20300000000
2021,Portland,"$131,904,647",42.00,"$109,140,000",1.208582069,West,615267,20300000000
2024,Sacramento,"$153,564,021",46.00,"$136,021,000",1.128972887,West,526954,700000000
2023,Sacramento,"$139,423,615",48.00,"$123,655,000",1.127521046,West,526954,700000000
2022,Sacramento,"$130,457,848",30.00,"$112,414,000.00",1.160512463,West,526954,700000000
2021,Sacramento,"$106,847,430",31.00,"$109,140,000",0.9789942276,West,526954,700000000
2024,San Antonio,"$142,867,770",22.00,"$136,021,000",1.050336125,West,1532653,200000000
2023,San Antonio,"$104,545,376",22.00,"$123,655,000",0.8454601593,West,1532653,200000000
2022,San Antonio,"$127,655,401",34.00,"$112,414,000.00",1.135582765,West,1532653,200000000
2021,San Antonio,"$129,537,825",33.00,"$109,140,000",1.186895959,West,1532653,200000000
2024,Toronto,"$163,054,678",25.00,"$136,021,000",1.198746355,East,3025647,1500000000
2023,Toronto,"$150,992,313",41.00,"$123,655,000",1.221077296,East,3025647,1500000000
2022,Toronto,"$134,896,484",48.00,"$112,414,000.00",1.199997189,East,3025647,1500000000
2021,Toronto,"$129,131,910",27.00,"$109,140,000",1.183176745,East,3025647,1500000000
2024,Utah,"$133,738,448",31.00,"$136,021,000",0.9832191206,West,215548,1900000000
2023,Utah,"$148,738,241",37.00,"$123,655,000",1.202848579,West,215548,1900000000
2022,Utah,"$149,760,719",49.00,"$112,414,000.00",1.332224803,West,215548,1900000000
2021,Utah,"$136,881,324",52.00,"$109,140,000",1.254181089,West,215548,1900000000
2024,Washington,"$150,856,313",15.00,"$136,021,000",1.109066343,East,684394,1400000000
2023,Washington,"$152,008,934",35.00,"$123,655,000",1.229298726,East,684394,1400000000
2022,Washington,"$128,019,790",35.00,"$112,414,000.00",1.138824257,East,684394,1400000000
2021,Washington,"$131,294,012",34.00,"$109,140,000",1.202987099,East,684394,1400000000
